date,hour,target_datetime,predicted_kW,actual_kW
2026-04-23,08:00,2026-04-23 08:00:00,1.465,
2026-04-23,09:00,2026-04-23 09:00:00,1.683,
2026-04-23,10:00,2026-04-23 10:00:00,1.821,
2026-04-23,11:00,2026-04-23 11:00:00,1.853,
2026-04-23,12:00,2026-04-23 12:00:00,1.8,
2026-04-23,13:00,2026-04-23 13:00:00,1.829,4.383
2026-04-23,14:00,2026-04-23 14:00:00,1.734,4.423
2026-04-23,15:00,2026-04-23 15:00:00,1.616,3.961
2026-04-23,16:00,2026-04-23 16:00:00,1.317,2.372
2026-04-23,17:00,2026-04-23 17:00:00,0.716,0.954
2026-04-23,18:00,2026-04-23 18:00:00,0.0,0.07
2026-04-23,19:00,2026-04-23 19:00:00,0.055,
2026-04-23,20:00,2026-04-23 20:00:00,0.026,
2026-04-23,21:00,2026-04-23 21:00:00,0.043,
2026-04-23,22:00,2026-04-23 22:00:00,0.034,
2026-04-23,23:00,2026-04-23 23:00:00,0.043,
2026-04-27,00:00,2026-04-27 00:00:00,0.106,
2026-04-27,01:00,2026-04-27 01:00:00,0.0,
2026-04-27,02:00,2026-04-27 02:00:00,0.0,
2026-04-27,03:00,2026-04-27 03:00:00,0.034,
2026-04-27,04:00,2026-04-27 04:00:00,0.0,
2026-04-27,05:00,2026-04-27 05:00:00,0.026,
2026-04-27,06:00,2026-04-27 06:00:00,0.173,
2026-04-27,07:00,2026-04-27 07:00:00,1.108,
2026-04-27,08:00,2026-04-27 08:00:00,1.495,
2026-04-27,09:00,2026-04-27 09:00:00,1.859,
2026-04-27,10:00,2026-04-27 10:00:00,1.983,
2026-04-27,11:00,2026-04-27 11:00:00,2.215,
2026-04-27,12:00,2026-04-27 12:00:00,2.099,
2026-04-27,13:00,2026-04-27 13:00:00,1.919,4.146
2026-04-27,14:00,2026-04-27 14:00:00,1.88,2.845
2026-04-27,15:00,2026-04-27 15:00:00,1.725,0.59
2026-04-27,16:00,2026-04-27 16:00:00,1.375,0.106
2026-04-27,17:00,2026-04-27 17:00:00,0.759,0.006
2026-04-27,18:00,2026-04-27 18:00:00,0.0,0.0
2026-04-27,19:00,2026-04-27 19:00:00,0.028,
2026-04-27,20:00,2026-04-27 20:00:00,0.0,
2026-04-27,21:00,2026-04-27 21:00:00,0.053,
2026-04-27,22:00,2026-04-27 22:00:00,0.04,
2026-04-27,23:00,2026-04-27 23:00:00,0.006,
