,RMSE_kW,MAE_kW,MAPE_%,R2
1,16.452717862068507,8.73806095123291,33.274505615234375,0.9552739858627319
2,16.26116184414522,8.593408584594727,32.820194244384766,0.9563161134719849
3,16.280574264707983,8.552400588989258,31.13531494140625,0.9561961889266968
4,16.252716306928992,8.554634094238281,31.04410743713379,0.9563353061676025
5,16.17271284061521,8.46580696105957,33.05636215209961,0.9567630290985107
6,16.025188646083954,8.42934799194336,30.329984664916992,0.957548201084137
7,16.036196772726186,8.35491943359375,32.40074157714844,0.9574898481369019
8,16.048068320709874,8.398751258850098,32.243431091308594,0.957426905632019
9,15.985282805049833,8.389508247375488,31.403196334838867,0.9577593803405762
10,16.04159955427655,8.44057559967041,32.667137145996094,0.9574612379074097
11,16.014312065086305,8.42259693145752,30.933460235595703,0.9576058387756348
12,16.02717285660171,8.400335311889648,31.627460479736328,0.9575377106666565
13,15.993719775762766,8.335134506225586,31.822437286376953,0.9577147960662842
14,16.260067682066722,8.587855339050293,32.773597717285156,0.9562946557998657
15,16.276956120144497,8.552133560180664,35.08073425292969,0.956203818321228
16,16.264649346339286,8.595598220825195,32.20526885986328,0.956271231174469
17,16.37851263911138,8.613649368286133,33.654144287109375,0.955671489238739
18,16.489483805500857,8.744156837463379,31.302711486816406,0.9550622701644897
19,16.427878228957894,8.690399169921875,32.2382926940918,0.9553315043449402
20,16.256413059964117,8.579520225524902,30.461517333984375,0.9562006592750549
21,16.10438532843277,8.481582641601562,33.884742736816406,0.9570561051368713
22,15.88224470978471,8.269426345825195,29.33974838256836,0.9582160711288452
23,15.901221539100286,8.23166561126709,34.08062744140625,0.9581528902053833
24,15.986325619463763,8.407621383666992,30.540651321411133,0.9578147530555725
mean,16.159148416401223,8.492878715197245,32.09668207168579,0.9568209995826086
